Description;Category
"To support on Data Science Academic guidance
1) Must hold a doctoral/Masters degree in Data Science 
2) Experienced problem-solving for exam guidance and relevant modules in Data Science.";Data Science
we have GPU processing system and the data coming is for CPU processing ...we need to switch the data to be processed buy GPU ..we need to encrypt the data that coming from XMR coin to be processed by GPU so our new software will encrypt the data in away that can be handled by GPU and then DECRYPT the data to return the results knowledge by data encrypting and decrypting  using latest technologies to do so is important and most ..second knowledge of crypto algorithms is important also ...we are dealing with data called RANDOM X  ...from XMR COIN ..THANK YOU;Data Mining
"We need ongoing help with producing financial + subscription revenue reports using Stripe Sigma.

Our immediate need is a New MRR report by month and week.";Operations Analytics
"I am a professional magician & illusionist seeking a data scraper to find names & emails of primary contact persons for specific events.

Pay: $0.25 per lead up to $100 for this project.

Deliverable: Specifically, I need the data found to be formatted in a google sheet with three columns: name, event, and email address for primary contact persons.

Details:
Event Locations: 
Charlotte, NC area

Event Dates: May-December of 2023

Types of events looking for:
1. Business conferences/expos/conventions
2. Fundraiser galas
3. Community events/festivals

Happy to answer any questions any applicants may have.";Data Scraping
"Greetings Upworkers!

Do you speak verbal English?

Live to provide solutions?

Task: Scrape data from the web, push the data to new web page.

1 # Full support till perfect 

2# Best practices 

3# Happy with deadlines

4# Confirm the times you are online

5# If you don't answer the questions raised in the job posting, it is likely you won't get a reply from us.

6# You should be able to create video i.e. via loom to show your code working. 

To fast track your application, please do send a video recording via a cloud URL, not google drive, you can use loom or dropbox capture. 

Budget: 10 USD, not hourly, not a placeholder. 

Look forward to working with you on many gigs.";Web Scraping
"We are looking for someone with experiencing scraping websites.

We have a list of car dealership sites that we want to scrape the search results for.

The solution must be written in Python and it should live as a DAG in Airflow.";Data Extraction
I would like to use NLP to generate thematic codes for interview transcripts.  In the past,  I have generated these codes myself via Nvivo and Atlas.ti. It's my understanding we can now leverage ML to do this instead.  I would like someone to provide working code in R that would generate codes as a result.  I can provide dummy text for training if necessary. My hope is to receive the working code, then I can edit it as needed to run analysis on my transcripts.  Deadline is Wednesday 12 PM CT.;Data Science Consultation
"We are looking for a skilled Python developer to extract data tables from three complex Excel sheets and design a database to store the extracted data. The successful candidate will be responsible for developing Python scripts to extract data tables from the Excel sheets and organize the data in a suitable format for storage in a database. They will also need to design the database schema to accommodate different data fields and ensure that the data is stored efficiently and effectively.

Responsibilities:

Develop Python scripts to extract data tables from three complex Excel sheets
Organize the extracted data into a suitable format for storage in a database
Design and develop a database schema that accommodates different data fields and efficiently stores the extracted data
Deploy the database schema";Data Extraction
"Looking for a solution to track, monitor and review staff performance for our onboarding process. The process helps induct members into a fitness health assessment process of 2 x 1-hour session with a personal trainer.

The flow of the process is
1) Add members data (name, start date, allocated trainer) to a tracker
2) Assign dates & time for each member advising when the sessions will take place
3) Have a section that can mark the session as completed or still pending with conditional formatting to an outcome
4) Identify what the outcome of both sessions were (Choices are: Sold Package, interested/follow up required, unable to close) 
5) If a member was sold a package, what package was sold (5ss, 10ss, 20ss, 30ss, 50ss, 100ss, other)
6) section for comments
7) if no sale was made during the process an automatic follow up appointment needs to be calculated 9-week from the date of No sale
8) Create a tally/dashboard of how many sessions booked, how many completed by each trainer per day/week/month, advising the sales closing ratios, unattended session, session remaining, bookings to take place each day  

We would like this to be editable so we can add member, different packages and different trainers.";Data Analysis
We need data migration from Cobol to Excel it can be huge data or it depends.;Data Migration
"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions.

Responsibilities
1.Interpret data, analyze results using statistical techniques and provide ongoing reports.

2.Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.

3.Acquire data from primary or secondary data sources and maintain databases/data systems.

4.Identify, analyze, and interpret trends or patterns in complex data sets";Data Mining
"We are a software company specialized in quantitative trading of major cryptocurrency derivatives, primarily options. 

In this project, we aim to explore the feasibility of building a price volatility prediction model of cryptocurreny assets over a specified tight window of time, for example 12-48 hours. 

In this project we hope to build a proof of concept prediction model to understand the following:

1. What data corpora are needed to be successful?
2. How accurate can we theoretically expect to be over time windows of 1 hour, 8 hours, 24 hours?
3. What infrastructure (eg storage, cloud compute, etc) is required?

Note that we have data engineers on staff who will support this project and our expectations are relatively modest. Essentially this is a R&D project. 

If the PoC demontrates likely future value, the engagement may extend to a longer-term contract.";Machine Learning Model
"I am looking for a research analyst who can support a project i am working on that has tight timescales and is to be delivered by early March.

The work will involve engaging with employers, education and training providers and service users  in a specific location using defined research questions. This is an area that has a high proportion of SME's. 

The demographics of the location is very diverse, there is also socio economic challenges with deprivation and in work poverty. 

The purpose of the research is the understand the views and opinions on the  local council's proposed strategy to Post 16 Skills and Employment Skills and Enterprise. 

We want to make sure residents have the right skills and qualifications needed to land good quality jobs in the borough. Gain employer insights to help identify current skills gaps and ensure focus is in the right areas to address barriers to recruiting for roles.

Research Analyst Responsibilities:

Conducting secondary desk research and understanding the context and work of other local boroughs.

Identifying and analysing trends and forecasts and recommending improvements.

Conducting surveys, interviews, collating quantitative and qualitative data from secondary and primary data sources.

Active engagement with the  employers - private, public and voluntary and charity sectors. Further and Higher Education providers, including skills and training and service users.

Using data analysis and interpretations to guide the decision-making and recommendations.
.
 Using statistical, economic, and data modeling techniques to develop graphs, charts, dashboards and insights and presenting findings

Providing recommendations and insights from the research to develop into a report.

Organizing and storing data for future research projects.

Research Analyst Requirements:

Education and Experience in applied research or data management.

Strong mathematical, analytical, and data modelling skills.

The ability to manipulate  data sets into manageable, understandable insights and reporting.

Excellent problem-solving, communication and team-working skills.

Familiarity with data modeling software and Excel software.

Attention to detail and organizational skills.

THIS WILL BE A FIXED PRICE JOB";Data Analysis
• Data Architect • Project: bank • Only Citizen of European Union / Passport EU holder (no relocation no) • Long term period • 100% remote • 5+ years' IT-related professional experience, preferably Information and Data architecture, Business and/or System Analyst roles • Practical experience working with modelling tools: Sparx, EA, Erwin etc) is a must • Basic knowledge of Data Governance/Metadata managements and Master Data tools (TBD) • Conceptual and logical thinking • Strong analytical skills and attention to details • Good communication skills • Ability to express opinion in verbal, written and model-driven forms • Ability to see holistic picture and ability to deep-dive into details as necessary • Ability to accept uncertainty and ability to make decisions with limited information • Willingness and ability to learn and deal with large amount of information • Higher education in Information Technology preferred • Fluent English is required in spoken and written communication. • Daily activities: • Contribute to Data Architecture modernization and practice enhancement • Participate in developing and improving data architecture and modelling standards, guidelines, and principles • Partner with the business stakeholders in understanding and translating business requirements into data architecture artifacts – models, blueprints, specifications • Coordinate business data modelling work of other internal or external data modelers • Organize and lead data modelling workshops with the Data Owners, Data Stewards, and business subject matter experts • Support projects & IT development teams in logical and physical data modelling, data architecture decisions, etc. • Validate the application data models according to the business requirements, established design standards and the best practices • Support various Metadata and Master Data management initiatives;Data Analysis
We are developing an MVP for a US client to analyze 1000 medical images using Deep Learning and integrate it into a Mobile Application. No need for classification of images or annotations. Only Image analysis required.;Data Analysis
The project is about an AI tool that could analyze a user's transactions and identify them as taxable or nontaxable transactions based on Italian Tax Law. As far as I'm aware, there are no public datasets available, so they'd needed to be made from scratch, with sources only from books. Would need consultation & planning before starting the project.;Data Science Consultation
"I need a Data Scientist with Statistics background that has an extensive experience in the Insurance Industry. 
The candidate should have the following skills:
- Python
- R
- Azure Machine Learning
- Snowflake
- Github
- Databricks
- MLFlow
- Preferrably worked with clients in AU, US, or UK

The job is to act as a consultant if I have stats/machine learning/data science related questions. This is for a long-term engagement.";Data Science
Looking for professional to take an existing project to the next level with slick visualization and leverage embedded PowerBI capabilities to provide a easy to use experience for the end users.;Data Visualization
Please see attached files for instructions. Need help with hw;Data Analysis
"Need to Work on a software Proejct, which needs the following skills:

NLP | Web Scraping | Social Media Feed Analysis";Data Science
"I've got 4 websites for my client, each of which they want to pass back product information to GA4 for

https://docs.google.com/spreadsheets/d/1xCtK1tZsWnDFWZ8lGILIqKvGGyHSu7BcXqB2H9GpQKc/edit#gid=0

check the ""Website"" column in the ""Transition Checklist Tab"". the products to pass back for each are identical and the site set up should be pretty much identical. I would like to complete this project for $200 or less.";Google Tag Manager
"I'm looking at building the following AI tools:
- AI game
- AI based decision making tool
- AI bot for a therapist/friend/coach
- AI does custom market research for a business

Each tool above has its own features and we will be using already existing AI tools to package this";Artificial Intelligence
"Get all city names into a json file from a example website below. Nothing more data is required as its a simple scraping job. Hence the budget is $10, 

https://www.censusindia.co.in/states/karnataka";Data Scraping
Build and train the model with our own data so it can generate text that simulates a conversation with a customer, providing information and assistance as needed.  We dont have a lot of data so this should be fairly easy. We expect customers to enquire about our loan rates, types of products we offer, what are fees are, what their loan terms would be. Most(if not all) of this info is already on our website www.instalend.com;AI Chatbot
"1-2 month engagement.
~10 hrs/week

We are a Health & Fitness Mobile App technology company looking for a talented and motivated Mobile Ad Attribution Specialist to join our team. As a key player in our marketing efforts, you will be responsible for tracking and analyzing the performance of our mobile advertising campaigns to drive growth and optimization.

Responsibilities:
-Implement and manage mobile ad attribution tracking solutions across various mobile platforms and advertising networks.
-Analyze and report on the performance of mobile advertising campaigns, including impression, click, conversion and return on ad spend data.
-Work with the marketing team to develop and execute campaign optimization strategies, including bid adjustments, targeting, and creative optimization.
-Conduct deep-dive analysis on campaign performance, identifying trends, opportunities for improvement and making recommendations to the marketing team.
-Collaborate with cross-functional teams, including product, engineering, and customer success, to ensure accurate tracking and reporting of mobile ad data.
-Stay up-to-date with the latest developments and trends in mobile ad attribution and regularly recommend new solutions or technologies to improve tracking and analysis.

Requirements:
-At least 4 years of experience as a Mobile Ad Attribution Specialist or similar role.
-In-depth understanding of mobile ad attribution methodologies, such as last-click, first-click, and multi-touch attribution.
-Strong knowledge of mobile ad platforms such as Google AdWords, Facebook Ads, Apple Search Ads, etc.
-Excellent data analysis skills, using tools such as Google Analytics, Tableau, or similar solutions.
-Strong problem-solving skills, with the ability to identify issues, develop solutions, and implement changes quickly.
-Attention to detail is a very important suite for us so start your application with the keyword ‘Attribution’ to have your application considered.
-Excellent written and verbal communication skills, able to communicate complex data and insights to stakeholders.
-Bachelor's degree in Marketing, Computer Science, Statistics, or a related field.

This is a great opportunity to join a dynamic and fast-paced team and play a critical role in driving the growth of our company. If you are passionate about mobile advertising and data-driven decision-making, we would love to hear from you.";Mobile Marketing
"Hi, in this project - we are dealing with abstract values such as color and design. 
I have the below datasets

Historical dataset
 - Image File - 
(1) Product Image (Abstract Color and design)

- in .CSV Format - 
(1) Product Image filename
(2) Product Brand
(3) Product Country of origin
(4) Product Selling Price
(5) Duration product has been in the market (months)

And would like to create a model to analyze future products via the same dataset.
The only value we won't have for a new product is (5) Duration product been in market, as the value would be 0

Examples of abstract images has been attached";Data Analysis
I need help to Predicts of winners in NBA games using linear regression, Using Python. i will share more details in the chat.;Python
"Looking for a basic demo of Azure Machine Learning Capability.

Sample can either be;
- Structured: tabular (table-like) data (e.g. SQL table) 

OR

Unstructured data via PDF or Microsoft Word documents.

** There is scope in the future to feed the output of machine learning into Azure OpenAI GPT-3 to obtain a linguistic (chat-like) response **";Data Science
"1. I have data in PDF Forms (which I can share later). There are two type of PDF forms, the data within each PDF type has similar layout and structure. 
2. Fine-tune a LayoutLM V1 model on those PDF forms data. The objective is that the model should be able to identify sections within the PDF documents. after we have trained or fine tuned on our custom data.

 Important: Use of data annotation tool is not allowed. The training data generation need to be done in python. This is a key ask.

3. After fine tune generate performance metrics. The F1 score should be high above 80%.
4. When tested with new documents coming from type1, type2 it should detect the sections correctly.

*You can use other model like Donut/LitLM to achieve the above. But it should be licensed to be used for commercial purpose.";Natural Language Processing
"Hello! 

We are looking for an individual who can help us compile a database of motivational videos and clips from various sources such as youtube interviews, podcast clips, instagram reel videos etc. 

We simply need them pulled and put into one large database such as google drive or something similar. This is certainly something that we will continue to do often so doing well can land you good job flow and a s other opportunities arise within the business and trust is built, you will be the first we turn to if those particular jobs fit your skillset. 

I look forward to working with you!";Data Scraping
"Looking to fine-tune an OpenAI classifier engine with 12-20 categories.  Please note: have limited training data, though there will be low variance of inputs.

Part of deliverable will be producing enough training data to achieve robust classification.";Data Science
Now the goal is to make a ML model of sematic clustering. In the first step, you will do semantic clustering with the help of text embedded model. Maybe it will a pre-trained model. Then I could give you a manual clustering with text to train the model to see how much the model accuracy increase. Then you could test the model with rest data (10% data).;Data Science
"I want to create a tool for my clients that will allow them to ask question to an AI using NLU and the AI will retrieve the correct information. Here is an example of a use case: 

A client has a Kajabi course teaching Pharmacists how to build an income by offering remote patient care. Course topics include: 

1. How to market to physician offices 
2. How to onboard new clients 
3. How to set up your medical data system 
4. How to bill clients each month 

A client wants to ask, ""what are the best medical data systems I should use?"". So they go to our helpful ""AI-concierge.""

The instructors of the course have answered that question inside of a 60 minute call. The call recording and transcription is uploaded and available in Kajabi. 

The customer types into the AI Concierge, ""what are the best medical data systems I should use"". and it responds with, ""Take a look at this video around the 17 minute mark where we discuss the best media data systems to use"" 

I don't know the budget or what it would take to actually build an AI tool that could do this for my client (and others clients) but I would love some proposals. 

Please ask any clarifying questions.";ChatGPT
"Hello! I want the job boards of the companies on Forbes Cloud 100 (https://www.forbes.com/lists/cloud100) added to a single Airtable table with each open role having its own row.

Each row should have relevant columns for the role including (but not limited to): Company (e.g., Stripe), role (e.g., Account Executive), team (e.g., Sales), location (e.g., San Francisco), link to the role, and any other columns that might be relevant.

This data should be refreshed daily with new roles added and roles that are no longer on the job boards removed,

Would like this delivered with 2-3 weeks with async feedback sessions along the way.

If this works out, I have similar projects that I would like executed.

Looking foward to hearing from you!";Data Scraping
"I am aiming to reproduce the paper: Learning Representations and Generative Models for 3D Point Clouds with PyTorch (original code uses Tensorflow).

https://arxiv.org/abs/1707.02392

https://github.com/optas/latent_3d_points

I already have my GAN and a data loader, but it's not working well.  The deliverables would be a python script for training the GAN with 3d point clouds and a script for new point cloud generation. You can use the code I already have if you want, maybe you can even find and fix my bugs (generation of shapes is plain noise). I can provide you with the datasets too.

The final goal is to generate somewhat good point clouds for different shapes.";PyTorch
delivery in 24hours , sas viya studio analytics. my name is ahmed , if you have any other questions please let me know i will explain them;SAS
Merge two datasets using fuzzy string matching. Can be done using any language – Python, R, etc. One of the datasets is available in RDF Dump Files. It needs to be extracted to txt/csv format. The size of the dataset is 1.2 TB.;Data Science
"I need a list of all the exhibitors with certain attributes from the website below.

https://ambiente.digital.messefrankfurt.com/exhibitor-search/

The attached excel shows the attributes needed for each exhibitor.";Data Scraping
I would like to invite you to complete SHL General Ability Test, thanks!;Data Analysis
"Hi, we have implemented the MRNet to classify knee MRIs (https://stanfordmlgroup.github.io/competitions/mrnet/) and gathered a private set of MRIs that we want to classify, but the results we have are not optimal. We are looking for a python developer that help us with the optimization of the CNN accuracy, recall and precision. Also we need to implement a visual representation of the attention map of the models (https://stanfordmlgroup.github.io/projects/mrnet/). The activities to do are:

1. Increase accuracy, recall and precision of the net in our private data set
2. Output attention heat map for visual aid

We would also need a complete report of the findings and results of the implementation in terms of accuracy and ROC using cross-validation techniques";Computer Vision
"Developers Job

We are looking for an analytical, results-driven back-end developer who will work with team members to troubleshoot and improve current back-end applications and processes. 

The Back-end Developer will use his or her understanding of programming languages and tools to analyze current codes and industry developments, formulate more efficient processes, solve problems, and create a more seamless experience for users. 

To succeed as a backend developer, you should be focused on building a better, more efficient program and creating a better end-user experience. You should be knowledgeable, collaborative, and motivated.

Developer Responsibilities:

Compile and analyze data, processes, and codes to troubleshoot problems and identify areas for improvement.

Collaborating with the front-end developers and other team members to establish objectives and design more functional, cohesive codes to enhance the user experience.

Developing ideas for new programs, products, or features by monitoring industry developments and trends.
Recording data and reporting it to proper parties, such as clients or leadership.

Participating in continuing education and training to remain current on best practices, learn new programming languages, and better assist other team members.
Taking lead on projects, as needed.

Developer Requirements:

Bachelor’s degree in computer programming, computer science, or a related field.

Experience may be required.

Fluency or understanding of specific languages, HTML, CSS, Javascript, MySQL

Prefer React, React Native

Strong understanding of the web development cycle and programming techniques and tools.

Ability to work independently or with a group.
Willingness to sit at desk for extended periods.

Note that this is an ON-SITE WORK around Pasay City Metro Manila.";JavaScript
I have very limited coding experience, i would like to have a tutor/ coach that can teach me the basics so I can complete the Deep Learning for coders with fastai & PyTorch course by Jeremy Howard.. The course includes learning python, Jupyter notebook, PyTorch, and fastai.;Data Science
"Data Analyst/Data Scientist for Contact and Company Deduplication

Description: We are seeking a skilled data analyst or data scientist to help us deduplicate a large list of contacts and their associated companies that are stored in two different spreadsheets. 

The list contains many accounts that are duplicates and may have different variations of the same name, such as XL Broadband, XL Broadband Inc., or XL Broadband, LLC. We need someone who can identify and merge the duplicates while maintaining a high level of data integrity.

Responsibilities:

Analyze and clean up large datasets to remove duplicates and merge similar entries.

Use tools such as SQL to handle the task.

Verify the accuracy of the deduplication process and maintain data integrity.

Communicate with the project manager and provide regular progress updates.

Requirements:

Proven experience as a data analyst or data scientist with experience in data cleansing and database management.

Strong knowledge of SQL and data analysis tools.

Excellent attention to detail and the ability to maintain high levels of data accuracy.

Effective communication and project management skills.

To apply, please submit your proposal, including your experience with similar projects, your hourly rate, and your estimated timeline for completion. 

I have attached two sample files so you can see what we are working with.";Data Analysis
"We're looking for a developer to create a Python script and deploy it over an API such as FastAPI or Flask that takes an article URL as input and extracts relevant HTML elements from it. The script will then separate the HTML elements into distinct categories such as image, caption, paragraph text, heading, etc. Finally, the script will return the extracted content through an API endpoint.

Requirements:

Strong experience in Python development.
Familiarity with HTML parsing and data extraction.
Familiarity with FastAPI or Flask and deploying scripts to an API.
Ability to deliver high-quality, clean, and maintainable code.
Strong communication skills and ability to provide regular updates on progress.
Deliverables:

Python script that extracts content from an article URL.
API endpoint that returns the extracted content in a JSON format.
Well-documented code with clear instructions on how to run the script and modify it if needed.
Testing and quality assurance to ensure the script works as expected.

Example JSON format is attached. The JSON attached is NOT what is expected from this job, as you can ignore the summarization and highlighting parts. 

Timeline:
We're looking to complete this project within the next two weeks. The ideal candidate should be able to start working immediately and commit at least 4 hours per week to this project.

Budget:
Our budget for this project is $100, but it's negotiable based on the candidate's experience and expertise. Please submit your proposal with a full quote for the project, examples of similar projects you've completed in the past, your estimated timeline, and your hourly rate if applicable. Most importantly, READ THE JSON. To be considered, you must include the word at the top of the json at the top of your proposal. Only those with this word will be considered.

If you're interested in this project, please submit your proposal. We'll review all proposals and contact the most qualified candidates for an interview.

Note: this is the first part in a two-part project. We would prefer to work with the same engineer for both parts, dependent on good results with the first";Data Mining
Looking for a faculty  who can start immediately to teach Microsoft Power Bi on weekly basis with a contract length of 3 to 6 months;Microsoft Power BI
"Hello,
We are looking for someone that is well versed in conversion rate optimization and has the skill set to A/B test website, call actions, workflow etc to better the business bottom line. For now its a one off task but we would love to use you for future projects! If this is something you have done before, lets chat. 
Thanks!";A/B Testing
"We are a small high-tech company that provides face-to-face and online training courses and consulting in machine learning and other topics using Python.

You are an experienced Django developer who would enjoy expanding and improving our existing company website backend, which is based on the Django Mezzanine CMS. You will initially be responsible for making the booking system more flexible, adding support for multiple timezones and currencies, improving the Xero integration, and making various other improvements and fixes.

The estimated project period is 1 month. If the project is a success, we would like to hire you for some larger Django-based projects involving data science.

More detail:

You must be highly experienced with Python and Django, integrating with web services via APIs (like CRM, Xero, Stripe, marketing automation APIs), working with Unix systems, and preferably with Mezzanine, PostgreSQL, and Ansible. You must also have a strong sense of best practices in Python for maintainability, and project management skills using GitHub.

To fit the role you will:

- Have the ability to communicate clearly and often, with fluent written / verbal English
- Have a high level of attention to detail
- Enjoy providing a high level of service (fast, responsive, thoughtful, careful)
- Be comfortable working both independently and (as needed) together with a designer / frontend dev
- Be self-motivated
- Have good problem-solving ability
- Be willing to sign an NDA
- Be available for occasional phone / video meetings between 10:00 and 17:00 UTC+11.

If you are interested in this project please reply with a cover letter and either a contact email or Skype ID. Please no agencies / recruiters.";Python
Hello I need twitter user name scrapper can you help?;Python
We are a crypto company acting looking to hire an Experienced AI specialist to help with Visual AI Building. We currently are looking for someone to join our team asap and help us grow. If you feel this is you please reach out with experience!;Artificial Intelligence
"We are seeking an experienced developer to help us extract user data from Amazon QuickSite and eliminate some data points. 

Responsibilities:
- Extraction of user data from Amazon Quicksight / Elimination  / Filtering 
- Experience with Amazon Web Services is a plus

Requirements:
- Strong experience in data extraction and filtering
- Proficiency in Python or any other relevant programming language
- Knowledge of Amazon Quicksight
- Ability to work with large data sets

We need someone who can ensure that the data is separated accurately and efficiently.
If you are an experienced developer with a strong background in data extraction and filtering, we would love to hear from you. Please include your relevant experience and portfolio when applying.";Data Extraction
Turn structured data in a JSON into openai embeddings to answer specific questions about the dataset by following a similar process as https://github.com/openai/openai-cookbook/blob/main/examples/Question_answering_using_embeddings.ipynb;React
Need to scrape product catalog (medical supplies) Access and details will be provided Having access to existing proxy servers is a plus;Data Extraction
I am looking for an expert in Apache Spark + PySpark who can make me hands on in these technologies.;Apache Spark
We have a variety of needs to improve the efficiency of our online business and want to achieve that through AI. Main focus will be marketing and product development.;Data Analysis
"We are reaching out to find an experienced Power BI developer who can help us connect our Oracle NetSuite data to Power BI using an ODBC connection and create financial dashboards. We are looking for someone who has hands-on experience in setting up a Power BI Desktop on an AWS instance and configuring the gateway.

The project objective is to bring our financial data from Oracle NetSuite into Power BI, so we can have a better view of our financial performance and make informed business decisions. The dashboards should include financial report like revenue analysis, vendor analysis, customer analysis, item analysis, income statement report, and profit-loss statement report, etc. The data should be updated every 15 minutes, and we expect the dashboards to be visually appealing, easy to use, and interactive.

The ideal candidate should have:

-Extensive experience in Power BI Desktop and Power BI Service.
-Hands-on experience with connecting Power BI to Oracle NetSuite using ODBC.
-Knowledge of AWS instance setup and Power BI gateway configuration.
-Ability to create financial dashboards with interactive visualizations and data insights.
-Strong communication skills and attention to detail.

If you have the necessary skills and experience and are interested in this project, please respond with your portfolio and references. We look forward to hearing from you soon.";Data Visualization
"We need a research analyst to help us find information about key partners in our target market.  The two types of partners we want to know more about are (1) U.S. National Retail Insurance and (2) MSPs (managed service providers) that provide cyber security services. 

Here is a more comprehensive write-up of our requirements, plus the templates to be populate for final deliverables. 

https://d2ai.notion.site/Market-Research-Project-a6f2f0ca8da24011bd5d3ae039f392bb";Market Analysis
"Hey Data Guru, 

We've built an application on top of MongoDB and are working on creating highly configurable analytics.

I'm looking for someone who has lot of experience in MongoDB as well as staging data for analytics purposes. 

One of our key constraints is that we can add new data fields on the fly and need to be able to use those fields in visualizations. 

If you have great experience building analytics platforms and with the MongoDB platform, let me know. 

We've got a development team that can do the work, but we need an expert coach to guide them and help us make the best decisions. 

Looking forward to hearing from you. 

John";MongoDB
"We're looking for a hardworking freelancer to help in extracting lead info from relevant websites. 
This simply involves visiting a website, locating contact info, and inputting this contact info into a google sheet. 
When applying, please include the word ""green"" and any relevant experience with data extraction.";Data Scraping
"Real-time multiple detection-recognition and counting of destroyed or demolished buildings after an earthquake. I already have a finished python project with human and object detection and counting of them. Python project will be provided in order to make the necessary changes.

The total changes that I want to be made are the following points:

1) Create and add the following classes with designated icons. Each class will be detected and counted (see pdf)
a) Demolished Buildings (Red box, 75% transparent)
b) Heavily Damaged Buildings (Orange box, 75% transparent)
c) Medium Damaged Buildings (Yellow box, 75% transparent)
d) Light Damaged Buildings (Green box, 75% transparent)

2) The menu bar must go from right side to left side. (see image_1)

3) At the menu bar:
a. Expanding menu bar with the following categories.
i. Fire (classes: humans, smoke, fire, cars, ems and fire brigade vehicles)
ii. Water (classes: humans, boats, smoke, fire)
iii. Earthquake level 1 ( SEE POINT 1)
iv. Earthquake level 2 (humans, smoke, fire, cars, ems and fire brigade vehicles)
v. General (humans, cars)
b. Activate button before each super category and each sub class. So, when a class is not active will not be detected and counted. Each class must work and independently and with others. For example, activation of category Earthquake level 1 and only class fire from Fire category.
c. If its possible change all the icons with modern ones.

4) Up left corner, the disaster monitoring logo, I want to be changed with image that I will provide.

It will run with a downloaded video from the computer from a predefined path or live from a social media link (youtube or other) as before.

Earthquake drone footage videos, extra details and material will be provided.";Python
I need a Google Analytics expert. My Google Analytics is a mess after a so called web developer attempted to set up the GA4 version of GA for me. I have 7 websites I would like to track performance with the present version and the new GA4 version of GA.  I need someone that clean up the account so I can make sense of it.;Google Analytics
Looking for an enterprise data architect who's experienced in architecting Power BI environments that connect with multiple disparate systems. Financial services/banking experience is a huge plus. Management consulting experience is a huge plus.;Microsoft Power BI
"We need someone to crawl the web for specific companies and products, which we will provide. Roughly 50-100 companies and a couple hundred products. 

The information we need is time sensitive, so needs to collected only for specific time periods which will vary for each company and product.

We only want strictly ethical crawling. No blackhat stuff please.

We prefer the work be done using Python.

This is a POC project for a client so will initially be on a small scale. If successful it could be expanded indefinitely.";Data Scraping
"Looking for an experienced developer for a long-term project, preferably full-time resource. You will work with a team for this project. This contract includes multiple sub-projects. Must be experienced with Datascience, ML Algorithms, Neural Network, Python and/or Tensorflow, AWS or GCP, must have very good knowledge at Computer Vision. We have specifications available for applicants to review upon request.

Required Experience:
Experience in computer vision projects
Image and video processing
Edge AI is a plus
Writing model based on requirement using DNN
Deploying models to cloud and integration
Python, R and/or TensorFlow programming languages";Data Science
"We want to build an AI trained model which learns to be the perfect virtual store assistant. Each model should also learn the prices and descriptions, info, meta data etc, just through Shopify API data if possible.

We want to build an app so that merchants can download it. It will be a great work together.";Python
I am looking for someone to work to perform a number of web scraping projects. For this particular project I am looking for someone that can scrape the attached Facebook company links and exact the company name, email, address/location, website and phone number.;Data Extraction
"We need to combine roughly 300 excel spreadsheets housing one data set with a second set of documents that contains a second, corresponding data point into one large aggregated spreadsheet, ideally via Excel power query.

The first document contains a set of excel documents associated to store locations. Each store is given a number, with 3 documents corresponding to that store. The second set of documents also refers to a store number, but outlines a set of codes that correspond to coordinates. The intention is to combine both sets of data so that we're able to highlight which of the profiles found in document one correspond with the coordinates in document two. 

We will need to add in additional columns to the aggregate document that references the store number, as well as the catchment radius (eg. 10km, 25km, 50km) so that we can pivot them appropriately and distinguish between them.";Data Processing
"We are looking for a Project-based Google Analytics/Tag Manager Specialist

Responsibilities

-Create measurement & tag implementation plan
-Audit Universal Analytics and GA4 implementation and create advice on this.
-Implement GA4 tracking on websites and mobile apps
-Configure and set up GA4 reports and dashboards
-Implement and maintain tags using Google Tag Manager
-Analyze and interpret data to drive business decisions
-Collaborate with cross-functional teams to identify and track key metrics

Requirements

-Proven experience with GA4 and GTM implementation
-Strong analytical skills and data interpretation experience
-Knowledge of HTML, CSS, and JavaScript
-Excellent communication and presentation skills
-Experience with Data studio";Data Analytics
display IoT device telemetry onto a dashboard.  The real-time data visualizations need to be fluid, animated display showing inter-dependent mixed parameters for Cloud dashboard as a compelling and attractive UI.  4-8 years experience within budget rate only pls;Graphic Design
"LOOKING FOR A TECHNICAL CO FOUNDER.

Need an AI / ML / NLP developer to develop our product. This product will be a completely custom chatbot and frontend/backend paired with a google extension. UIUX experience is nice to have as well but not required.

Please reach out if you are open to equity agreements.";Chatbot Development
"Hi, 

I run a small tech recruiting company. We are looking for an expert with GA4 who can do:

- configuration
- report creation
- dashboard creation 

We are looking to provide metrics and have someone that really knows Google Analytics well be able to extract the right information from GA4 for us.

Thanks,

Gino";Data Analytics
"I'm searching for a collaborator to work with on a weekly basis. To begin with, all the necessary preparations have been made. Your task will be to perform a series of A/B tests.

If you are interested in applying, please let me know how you would approach an A/B test on a website pop-up that does not have an attributed URL. It would be great to hear about your past experience in similar projects. Looking forward to hearing from you";A/B Testing
need help in understanding databricks, setting up a cluster, migrating data from json into parquet in s3 and being able to query tables. Also need to build a pipeline from postgres and mongo db to s3 using databricks;Databricks
